Drones Club	http://corneliusbear.blogspot.com/	2009-04-04T23:48:00.000-07:00
Polly Sleeps.	http://corneliusbear.blogspot.com/2009/04/polly-sleeps.html	2008-05-18T18:08:00.001-07:00
Working the Old Soil	http://corneliusbear.blogspot.com/2008/05/working-old-soil.html	2008-02-20T00:22:00.000-08:00
Yet More Truth Serum.	http://corneliusbear.blogspot.com/2008/02/yet-more-truth-serum.html	2007-11-14T16:19:00.000-08:00
The hum-drum happiness of life.	http://corneliusbear.blogspot.com/2007/11/hum-drum-happiness-of-life.html	2007-08-27T14:35:00.000-07:00
I believe I have found my métier.	http://corneliusbear.blogspot.com/2007/08/i-believe-i-have-found-my-mtier.html	2007-03-03T07:35:00.000-08:00
The Dude and Catastrophe: A modest success!	http://corneliusbear.blogspot.com/2007/03/dude-and-catastrophe-modest-success.html	2006-10-25T21:53:00.000-07:00
Pub Name Backpedal	http://corneliusbear.blogspot.com/2006/10/pub-name-backpedal.html	2006-08-09T22:09:00.000-07:00
Pub name correction from Ray.	http://corneliusbear.blogspot.com/2006/08/pub-name-correction-from-ray.html	2006-07-26T19:34:00.000-07:00
Opening the new pub.	http://corneliusbear.blogspot.com/2006/07/opening-new-pub.html	2006-06-02T23:31:00.000-07:00
The keys are mine!	http://corneliusbear.blogspot.com/2006/06/keys-are-mine.html	2006-05-15T23:08:00.000-07:00
Everyone&#39;s a pub-namer	http://corneliusbear.blogspot.com/2006/05/everyones-pub-namer.html	2006-05-10T22:01:00.000-07:00
A second career, so late in life?	http://corneliusbear.blogspot.com/2006/05/second-career-so-late-in-life.html	2006-03-31T21:57:00.000-08:00
A Borrowed Hobby.	http://corneliusbear.blogspot.com/2006/03/borrowed-hobby.html	2006-01-28T23:16:00.000-08:00
Rostropovich on cello.	http://corneliusbear.blogspot.com/2006/01/rostropovich-on-cello.html	2005-11-18T23:57:00.000-08:00
Felled by the mighty Carnaroli	http://corneliusbear.blogspot.com/2005/11/felled-by-mighty-carnaroli.html	2005-11-04T23:04:00.000-08:00
A week without the familiar pleasures.	http://corneliusbear.blogspot.com/2005/11/week-without-familiar-pleasures.html	2005-10-27T20:25:00.000-07:00
A bit of a dark cloud above the old corpus	http://corneliusbear.blogspot.com/2005/10/bit-of-dark-cloud-above-old-corpus.html	2005-10-13T00:34:00.000-07:00
A terrible bit of angling!	http://corneliusbear.blogspot.com/2005/10/terrible-bit-of-angling.html	2005-10-07T20:17:00.000-07:00
Someone has left a cornichon in the toilet.	http://corneliusbear.blogspot.com/2005/10/someone-has-left-cornichon-in-toilet.html	2005-09-19T23:12:00.000-07:00
Gamblers Anonymous	http://corneliusbear.blogspot.com/2005/09/gamblers-anonymous.html	2005-08-22T20:20:00.000-07:00
Small clay statue.	http://corneliusbear.blogspot.com/2005/08/small-clay-statue.html	2005-07-28T00:08:00.000-07:00
If I am served another heirloom tomato dish I shall quite simply die.	http://corneliusbear.blogspot.com/2005/07/if-i-am-served-another-heirloom-tomato.html	2005-07-06T19:52:00.000-07:00
Au revoir to the spring lamb.	http://corneliusbear.blogspot.com/2005/07/au-revoir-to-spring-lamb.html	2005-06-20T20:51:00.000-07:00
The constant evolution of things.	http://corneliusbear.blogspot.com/2005/06/constant-evolution-of-things.html	2005-05-15T18:40:00.000-07:00
Trial run of the cooking program.	http://corneliusbear.blogspot.com/2005/05/trial-run-of-cooking-program.html	2005-05-07T08:46:00.000-07:00
A bit of stick; Cooking Show.	http://corneliusbear.blogspot.com/2005/05/bit-of-stick-cooking-show.html	2005-04-20T08:18:00.000-07:00
Breakfast wars.	http://corneliusbear.blogspot.com/2005/04/breakfast-wars.html	2005-04-08T18:02:00.000-07:00
I do adore that Lauren Graham.	http://corneliusbear.blogspot.com/2005/04/i-do-adore-that-lauren-graham.html	2005-03-31T20:26:00.000-08:00
I have invented a machine.	http://corneliusbear.blogspot.com/2005/03/i-have-invented-machine.html	2005-03-09T21:38:00.000-08:00
I have Pay Pal!	http://corneliusbear.blogspot.com/2005/03/i-have-pay-pal.html	2005-02-19T23:51:00.000-08:00
Concern for Philippe.	http://corneliusbear.blogspot.com/2005/02/concern-for-philippe.html	2005-01-18T20:58:00.000-08:00
One might say that Lyle is back.	http://corneliusbear.blogspot.com/2005/01/one-might-say-that-lyle-is-back.html	2005-01-05T23:45:00.000-08:00
I do enjoy that Ray. 	http://corneliusbear.blogspot.com/2005/01/i-do-enjoy-that-ray.html	2004-12-26T08:32:00.000-08:00
Christmas gifts.	http://corneliusbear.blogspot.com/2004/12/christmas-gifts.html	2004-12-03T15:58:00.000-08:00
Blasted Patrick	http://corneliusbear.blogspot.com/2004/12/blasted-patrick.html	2004-11-15T01:08:00.000-08:00
Greetings from...home. 	http://corneliusbear.blogspot.com/2004/11/greetings-fromhome.html	2004-11-04T01:39:00.000-08:00
Breakfast with Ekaterina (of sorts)	http://corneliusbear.blogspot.com/2004/11/breakfast-with-ekaterina-of-sorts.html	2004-10-24T02:13:00.000-07:00
Greetings From (Y)Ekaterinburg!	http://corneliusbear.blogspot.com/2004/10/greetings-from-yekaterinburg.html	2004-10-02T13:36:00.000-07:00
A bit of a detour	http://corneliusbear.blogspot.com/2004/10/bit-of-detour.html	2004-09-27T08:20:00.000-07:00
Greetings from Kazan! 	http://corneliusbear.blogspot.com/2004/09/greetings-from-kazan.html	2004-09-13T06:09:00.000-07:00
Greetings from Moscow!	http://corneliusbear.blogspot.com/2004/09/greetings-from-moscow.html	2004-09-07T15:48:00.000-07:00
Tootle-ta!	http://corneliusbear.blogspot.com/2004/09/tootle-ta.html	2004-09-02T14:16:00.000-07:00
Like a fading photograph	http://corneliusbear.blogspot.com/2004/09/like-fading-photograph.html	2004-08-29T23:42:00.000-07:00
Difficulties abound.	http://corneliusbear.blogspot.com/2004/08/difficulties-abound.html	2004-08-26T13:52:00.000-07:00
My shoe risers have arrived!	http://corneliusbear.blogspot.com/2004/08/my-shoe-risers-have-arrived.html	2004-08-23T22:12:00.000-07:00
Ekaterina	http://corneliusbear.blogspot.com/2004/08/ekaterina.html	2004-08-22T23:30:00.000-07:00
Oh sweet Aphrodite	http://corneliusbear.blogspot.com/2004/08/oh-sweet-aphrodite.html	2004-08-17T22:03:00.000-07:00
Back in the stuff. 	http://corneliusbear.blogspot.com/2004/08/back-in-stuff.html	2004-08-16T21:59:00.000-07:00
Silly me. 	http://corneliusbear.blogspot.com/2004/08/silly-me.html	2004-08-12T17:59:00.000-07:00
